ordId;question;Comments;CorrectAnswer;a;b;c;sound;photo;questionId
22;Le tram redémarre. En l'absence de conducteurs venant en sens inverse, puis-je le dépasser par la gauche ?;Le dépassement par la gauche est autorisé puisqu'il y a un obstacle fixe à droite (des véhicules en stationnement);A;Oui;Non;;1022.mp3;917022;1022
23;Sur cette chaussée à sens unique, je peux rouler au milieu;Pour que le choix de la bande soit possible, il faut que la chaussée soit divisée en bandes, pour que le choix de la file soit possible, il faut qu'il y ait densité. Ce  n'est pas le cas, vous devez donc rester à droite, même si personne ne vous suit.;C;Oui;Oui, si personne ne veut me dépasser ;Non;1017.mp3;917017;1017
24;Le véhicule débouchant à ma droite vire à droite. J'ai la priorité.;Sans signal ni feux ni agent, le principe de la priorité de droite est d'application. Peu importe la direction que prendra la voiture dans le carrefour, le changement de direction n'influence pas les règles de priorité.;B;Oui;Non;;1020.mp3;917020;1020
25;En plus d'interdire l'accès aux voitures, ce panneau interdit aussi l'accès aux conducteurs de;Définition du signal: Accès interdit aux conducteurs de véhicules à moteur à plus de deux roues, et de motocyclettes avec side-car. Retenez: interdit aux 'véhicules larges à moteur'.;C;Tous les véhicules à moteur;Motocyclettes et cyclomoteurs;Camions et autocars;1012.mp3;917012;1012
26;Pour tourner à droite à ce carrefour, l'usage du feu indicateur de direction est;Toujours utiliser le clignotant, même pour une direction imposée.;B;Autorisé;Obligatoire;Interdit;1004.mp3;917004;1004
27;Le signal de priorité m'autorise à franchir le feu vert en cédant le passage aux cyclistes;Le signal autorise les cyclistes à franchir le feu rouge pour tourner à droite;B;Oui;Non;;8303.mp3;366003;8303
28;Je suis obligé de tourner à gauche. Dans cette situation;Le signal me donne priorité, et le panneau additionnel indique le tracé à suivre pour en bénéficier. J'ai donc la priorité sur la fourgonnette blanche.;A;J'ai priorité sur la fourgonnette blanche;La fourgonnette blanche a la priorité;J'ai priorité si la fourgonnette blanche s'arrête;1018.mp3;917018;1018
29;Je désire tourner à gauche à ce carrefour. J'ai priorité sur les cavaliers.;Les cavaliers, comme les autres conducteurs, doivent respecter les règles de priorité. Veillez cependant à ralentir en présence d'animaux. L'arrêt n'est obligatoire que si les chevaux montrent des signes de frayeur.;A;Oui;Non, car j'effectue une manoeuvre;Non, je dois toujours m'arrêter en présence de chevaux;1001.mp3;917001;1001
30;Je veux tourner à droite au carrefour;La flèche verte donne simplement l'autorisation de franchir le feu, mais tant les piétons que les véhicules venant perpendiculairement ont un feu 'entièrement' vert. Ils ont donc priorité.;C;J'ai priorité;J'ai priorité, mais je redouble de prudence ;Je cède le passage aux autres conducteurs et aux piétons ;2011.mp3;917006;2011
31;Après le virage, la limitation de vitesse est fixée à ;Le panneau orange annonce la limite de la commune, pas une agglomération.;C;50 km/h;70 km/h;90 km/h;1031.mp3;917031;1031
32;Sous ce pont situé en agglomération :;Interdit de stationner ou de s'arrêter sur la chaussée sous un pont. En cause: le manque de visibilité.;C;Je peux m'arrêter et stationner;Je peux m'arrêter mais pas stationner;Je ne peux ni m'arrêter, ni stationner;1036.mp3;917036;1036
33;Je veux dépasser ce cycliste dans le carrefour.;Seul le dépassement des véhicules larges, des motos et des cyclos est interdit dans un carrefour où la priorité de droite est applicable. Veillez cependant à redoubler de prudence lorsqu'il s'agit d'un enfant cycliste et à garder une distance latérale min;B;C'est toujours autorisé;C'est autorisé si je peux m'écarter d'un mètre au moins du cycliste;C'est interdit;2022.mp3;917029;2022
34;Je peux continuer tout droit;Le panneau additionnel vous indique que l'interdiction ne commence qu'à 120 mètres environ.;A;Oui;Non;;1010.mp3;917010;1010
35;Je veux continuer tout droit dans cette zone résidentielle;Les zones résidentielles ne sont pas réservées à la circulation locale, mais n'oubliez pas que les piétons peuvent emprunter la chaussée, et que les jeux y sont autorisés. La vitesse maximum est fixée à 20 km/h.;B;C'est autorisé à 30 km/h maximum;C'est autorisé sans gêner les piétons ;C'est interdit, le trafic est réservé à la circulation locale;1034.mp3;917034;1034
36;Le véhicule qui me précède roule à 25 km/h. ;Le dépassement par la droite n'est autorisé que si le conducteur a indiqué son intention de tourner à gauche et s'est porté à gauche pour ce faire. Le dépassement par la gauche est interdit dans un virage sans visibilité.;C;Je peux le dépasser par la gauche;Je peux le dépasser par la droite;Je ne peux pas le dépasser;1027.mp3;917027;1027
37;Jusqu'aux signaux routiers, ma vitesse, sur cette voie à 2 x 2 bandes, était limitée à:;Avant les signaux, ce n'est pas encore l'agglomération et la vitesse n'est pas encore limitée à 70 km/h. Comme la voie publique comporte 2 x 2 bandes, et que les deux sens de circulation sont séparés physiquement, ma vitesse maximale était de 120 km/h.;C;70 km/h;90 km/h;120 km/h;1030.mp3;917030;1030
38;Je désire tourner à gauche à ce carrefour.;L'agent n'indique pas une direction à suivre, mais ferme le carrefour. Comme je viens d'une direction coupant les bras de l'agent, je ne peux pas entrer dans le carrefour.;C;Je peux tourner sans attendre;Je dois tourner sans attendre;Je dois m'arrêter;1002.mp3;917002;1002
39;Pour quitter cette autoroute, je ralentis:;Ralentir sur l'autoroute gênerait les autres conducteurs. Ralentir dans le virage n'est pas la bonne solution. Utilisez plutôt la bande de décélération prévue à cet effet.;B;Maintenant;Sur la bande qui s'ouvre à ma droite;Dans le virage;1040.mp3;917040;1040
40;Au carrefour, je continue;Le signal d'obligation placé à droite de la camionnette stationnée ne vous laisse pas le choix.;A;Vers la droite ;Vers la gauche ;Au choix vers la droite ou la gauche;1013.mp3;917013;1013
41;Je peux m'arrêter le long du trottoir;Tant la ligne jaune discontinue que l'arrêt de bus interdisent le stationnement, mais pas l'arrêt.;A;Oui;Non , c'est interdit à moins de 15m de part et d'autre d'un arrêt d'autobus;Non, c'est interdit sur la chaussée, le long d'une ligne jaune discontinue;1037.mp3;917059;1037
42;Au prochain carrefour, je dois :;Le panneau additionnel ne laisse aucun doute. Remarquez que seul le panneau additionnel différencie l'annonce du 'STOP' de l'annonce du 'CEDER LE PASSAGE'.;B;Céder le passage à gauche et à droite;Marquer l'arrêt et céder le passage à gauche et à droite;Céder le passage à droite uniquement;1009.mp3;917009;1009
43;Sur cette chaussée à sens unique, je peux rouler sur la bande centrale;En agglomération, sur une chaussée à sens unique divisée en bandes de circulation, je peux choisir ma bande. Notez également que pour tourner à gauche, je dois être sur la bande de gauche, et non pas sur la bande centrale.;B;Oui, si je tourne à gauche au prochain carrefour ;Oui, si je suis en agglomération ;Non;1016.mp3;917016;1016
44;Je circule à 40 km/h.  Je suis à 30 mètres du feu lorsque qu'il devient orange fixe.;Même en considérant un temps de réaction, à 40 km/h ma distance d'arrêt ne peut excéder 30 mètres.;C;Je peux passer;Je peux passer prudemment;Je dois m'arrêter;1032.mp3;917032;1032
45;Lorsque je suis en panne sur ce type de voie publique, située en dehors de l'agglomération, je place le triangle de danger à une distance minimale de;30 mètres minimum, mais visible à 50 mètres pour ceux qui approchent. La distance de 100 mètres n'est obligatoire que sur autoroute, pas sur une route pour automobile.;A;30 mètres;50 mètres;100 mètres;1039.mp3;917039;1039
46;Je veux dépasser cette voiture sur le passage à niveau. C'est autorisé;Interdiction de dépasser un véhicule large, une moto ou un cyclo sur un passage à niveau signalé non protégé par des barrières ou des feux.;C;Oui, si aucun véhicule sur rails n'approche;Oui, en redoublant de prudence;Non;1028.mp3;917028;1028
47;Hésitant sur l'itinéraire à suivre, je peux m'arrêter pour consulter une carte routière au-delà de ces signaux;Ni arrêt, ni stationnement sur une autoroute en dehors des endroits spécialement aménagés, et signalés.;C;Oui, sur l'accotement;Oui, sur la chaussée;Non;1033.mp3;917033;1033
48;Une ambulance approche, feux bleus allumés. Dans ce cas,;Seuls les feux bleus fonctionnent, et non pas la sirène. L'ambulance n'a donc pas priorité, et vous pouvez poursuivre votre route normalement.;C;Je m'arrête;Je dois dégager, céder le passage et au besoin m'arrêter;Je continue normalement;1023.mp3;917023;1023
49;Le signal du bas m'indique un endroit fréquenté par des enfants;Le panneau additionnel avec les deux flèches indique la longueur de la section dangereuse. Notez que sans autre mention, le danger commence à 150 mètres.;B;A environ 200 mètres;Sur une distance d'environ 200 mètres;A proximité immédiate;1008.mp3;917008;1008
50;Cet enfant veut traverser la chaussée en empruntant le passage pour cyclistes;Le cycliste veut traverser la chaussée et n'a donc pas priorité. Vous devez cependant toujours approcher d'un passage pour cycliste à allure modérée, et veillez à redoubler de prudence en présence d'un enfant cycliste. Notez qu'il n'en est pas de même pou;A;J'ai la priorité, mais redouble de prudence;Je dois lui céder le passage;Je peux continuer à la même allure si je m'écarte suffisamment;1035.mp3;917035;1035
51;Pour tourner à gauche au carrefour;La flèche d'évacuation me signale que les véhicules en sens inverse sont retenus par un feu rouge.;B;Je laisse passer les véhicules venant en sens inverse;Je peux tourner sans attendre;Je dois m'arrêter à hauteur de la ligne discontinue;1007.mp3;917007;1007
52;La marque '' TWI '' sur le flanc d'un pneu indique;L'emplacement du témoin d'usure;A;L'emplacement du témoin d'usure;L'emplacement de la valve;Le type de structure;3901.mp3;511049;3901
53;Un véhicule est polluant lorsque la quantité de C02 émise est supérieure à;Environ 6l au 100 km;C;99 gr/km;114 gr/km;145 gr/km;3902.mp3;450046;3902
54;Combien y a t-il de degré dans les infractions;4 degrés;B;3;4;5;3903.mp3;117179;3903
55;Le feu est rouge. Je dois m'immobiliser;La deuxième ligne est celle devant laquelle doivent s'arrêter les cyclistes et cyclos. L'espace compris entre les deux lignes forme la zone avancée pour cyclistes et cyclomoteurs à deux roues.;A;A la première ligne transversale;A la deuxième ligne transversale;Au choix, à la première ou la deuxième;1015.mp3;917015;1015
56;Au carrefour, je peux tourner à droite ;Le panneau carré bleu avec la flèche indique un sens unique, et le panneau bleu avec le gros trait blanc indique le tracé de la voie prioritaire. Rien de tout cela n'empêche de tourner.;A;Oui;Non;;1024.mp3;917024;1024
57;A ce carrefour, les feux ne fonctionnent plus. Seul le feu orange clignotant est allumé.;Le feu jaune-orange clignotant ne modifie pas les règles de priorité. Il faut donc respecter le signal STOP.;C;J'ai priorité ;Je cède le passage aux conducteurs venant à ma droite;Je marque l'arrêt et je cède le passage;1019.mp3;917019;1019
58;Pour tourner à droite au carrefour suivant;Vous êtes obligé de prendre la bande de droite pour tourner à droite.;B;Je peux rester sur la bande de droite;Je dois rester sur la bande de droite;Je reste sur la bande de droite, sauf si un bus demande le passage.;1014.mp3;2473059;1014
59;Je veux contourner cet autobus arrêté pour l'embarquement de passagers :;C'est autorisé, mais à allure modérée. En agglomération, vous devez vous arrêter si le bus indique son intention de quitter son point d'arrêt, ce qui n'est pas le cas ici.;A;C'est autorisé ;C'est interdit;;2021.mp3;917061;2021
60;Je veux tourner à droite au carrefour;Le panneau d'interdiction ne compte que s'il est placé à votre droite. L'interdiction vaut donc pour le carrefour suivant.;A;C'est autorisé;C'est interdit;;1011.mp3;917011;1011
61;Sur cet accotement en saillie praticable, le véhicule de droite est bien stationné.;Sur l'accotement, il n'est pas obligatoire de se ranger parallèlement au bord de la chaussée;B;Oui, s'il se trouve en agglomération;Oui, s'il se trouve en dehors d'une agglomération;Non, car il est placé perpendiculairement au bord de la chaussée;1038.mp3;917038;1038
62;Refuser le test d'haleine lorsque l'on s'apprête à conduire entraîne automatiquement une interdiction temporaire de conduire de;Le refus de se soumettre au test d'haleine est puni de la façon la plus sévère: 6 heures d'interdiction et éventuellement: retrait immédiat du permis, amende, prison, déchéance.;C;3 heures ;3;6 heures  ;1003.mp3;917003;1003
63;Le feu est rouge.  Je m'arrête;Vous ne pouvez pas vous engager sans être certain de pouvoir dégager, et risquer ainsi de gêner le passage des trams.;B;Derrière la voiture ;En deçà des rails ;Je peux avancer sur les rails si aucun tram n'est en vue;1021.mp3;917021;1021
64;Mon véhicule, légèrement accidenté, n’est plus à même de circuler. Etant correctement stationné, il peut rester là;Chiffre à retenir: 24 heures.;C;Jusqu’au dépannage;Jusqu’à la réparation;24 heures;1142.mp3;2880052;1142
65;Sur cette chaussée, située en dehors de l'agglomération, il est interdit de;Le stationnement est interdit sur la chaussée d'une voie prioritaire en dehors de l'agglomération;A;Stationner sur la chaussée;Arrêter et stationner sur la chaussée;Arrêter et stationner sur l'accotement;1401.mp3;2880006;1401
66;En attendant le passage du train, je laisse tourner le moteur;Ne fusse que pour ne pas consommer de l'essence inutilement.;B;Oui;Non;;8014.mp3;100042;8014
67;Dans cette situation;L'injonction de l'agent qualifié vous impose de vous arrêter.;C;Je peux tourner à droite;Je peux tourner à droite en cédant le passage;Je dois m'arrêter;1402.mp3;2473053;1402
68;Les poids lourds sont stationnés. Je peux dépasser cette voiture en empruntant l'accotement de plain-pied;Il est autorisé d'emprunter en accotement de plain-pied lorsque la largeur de la chaussée ne permet pas d'effectuer le dépassement.;A;Oui;Non;;1403.mp3;100014;1403
69;Je peux dépasser le cycliste sur ce dispositif surélevé;Tous les dépassements sont interdits sur un dispositif surélevé.;C;Oui;Oui si je m'écarte d'un mètre au moins;Non;1404.mp3;2880040;1404
70;Je désire tourner à gauche au prochain carrefour;Interdiction d'emprunter mais autorisation de franchir à hauteur du carrefour.;B;J'emprunte dès à présent le site spécial franchissable;J'attends d'être au carrefour pour franchir le site;Je ne pourrai pas tourner à gauche au prochain carrefour;1405.mp3;100015;1405
71;Je peux emprunter cette voie publique;Il s'agit d'une zone piétonne.;C;Oui, en redoublant de prudence;Oui, en cédant le passage aux piétons;Non;1406.mp3;100018;1406
72;Ce signal routier signifie;Définition du signal: fin de chemin réservé aux piétons, cyclistes et cavaliers.;B;Accès interdit pour les piétons et les cyclistes;Fin de chemin réservé aux piétons, cyclistes et cavaliers;Fin de priorité pour les piétons et cavaliers;1407.mp3;100019;1407
73;Les deux feux rouges du passage à niveau sont éteints. Je peux dépasser cette voiture;Le dépassement d'un véhicule sur un passage à niveau est autorisé pour autant que le passage soit équipé soit de feux soit de barrières.;A;Oui;Non;;1408.mp3;100026;1408
74;Pour que deux passagers puissent prendre place à côté du conducteur à l’avant d’une voiture, celle-ci doit avoir une largeur intérieure minimale de;55 cm pour le conducteur, et 40 cm pour chacun des passagers, soit 135 cm minimum.;B;130 cm;135 cm;145 cm;1102.mp3;2880016;1102
75;En circulant à 80 km/h, je dois garder, avec le véhicule qui me précède, une distance de sécurité d’environ;Pour connaître votre distance de sécurité sur sol sec, vous divisez votre vitesse par 2. A 80 km/h: 40 mètres.;C;20 mètres;30 mètres;40 mètres;1131.mp3;917058;1131
76;Après avoir dépassé cette voiture, je pourrai rester sur la bande de gauche;Vous entrez dans une agglomération (voyez le signal à droite), le choix de la bande devient possible car vous circulez sur une voie publique à deux sens divisée en 2 x 2 bandes.;A;Oui, car je rentre dans une agglomération;Non;;1116.mp3;2473055;1116
77;Après les signaux routiers, ma vitesse est limitée à;Vitesse en dehors de l’agglomération: Bruxelles er Wallonie: 90 km/h. En Flandre: 70 km/h;C;50 km/h;70 km/h;90 km/h;1129.mp3;2880042;1129
78;Sur cette voie étroite, je peux utiliser l’accotement en saillie pour croiser le véhicule venant en sens inverse;On ne peut jamais emprunter l’accotement en saillie. Par contre, le conducteur venant en sens inverse peut emprunter l’accotement de plain pied.;C;Oui;Oui, sans mettre les piétons et les cyclistes en danger;Non;1123.mp3;2880036;1123
79;Dans cette situation;Vous devez laisser le piéton traverser dès qu’il est engagé ou sur le point de s’engager sur un passage pour piétons.;C;J’ai priorité sur le piéton;Je continue à allure modérée;Je dois laisser le piéton traverser;1134.mp3;917071;1134
80;En suivant la route vers la gauche, j’ai priorité sur cette voiture qui débouche d’une voie sans issue;Sans signal de priorité, la règle de priorité de droite est applicable. Même vis-à-vis d’un conducteur débouchant d’une voie sans issue.;B;Oui;Non;;1118.mp3;2880031;1118
81;Lorsque je suis invité à souffler dans le testeur ou l’analyseur d’haleine;Chiffre à retenir: 15 minutes de délai sur demande, afin de neutraliser l'alcool que vous auriez dans la bouche.;B;Je dois souffler immédiatement;Je peux demander un délai de 15 minutes;Je peux demander un délai de 30 minutes;1103.mp3;917003;1103
82;Sur ce ralentisseur de trafic;Le signal placé à droite vous donne la priorité. Vous devez être capable de reconnaître un signal de priorité même si vous n’en voyez que la moitié.;A;J’ai priorité sur la voiture rouge;La voiture rouge a la priorité;Le premier arrivé sur le ralentisseur peut passer;1110.mp3;2880023;1110
83;Je désire ranger mon véhicule sous ce pont;L'arrêt et le stationnement sont interdits sur la chaussée, mais pas sur l'accotement.;A;C’est autorisé pour l’arrêt et le stationnement;C’est autorisé pour l’arrêt uniquement;C'est interdit;1138.mp3;2880048;1138
84;Une ambulance arrive derrière moi, avec feux et sirène. Dans ce cas;En vous arrêtant, vous empêchez l’ambulance de passer. Rester calme est une bonne idée, mais ne facilite pas non plus le passage de l’ambulance. Le bon comportement consiste à dégager, céder le passage, et éventuellement vous arrêter.;B;Je m'arrête;Je dégage;Je continue calmement;1120.mp3;2880033;1120
85;Ce signal attire mon attention sur ;Définition du signal: Chaussée glissante.;B;Un virage dangereux;Une chaussée glissante;Un risque de verglas;1109.mp3;2880022;1109
86;Je dois utiliser le clignotant pour dépasser ce cycliste;Toujours utiliser le clignotant lors d'un déplacement latéral, même pour le dépassement d'un cycliste.;A;Oui, toujours;Oui, mais seulement si je déborde de ma bande de circulation;Non;1105.mp3;2880018;1105
87;Je peux emprunter cette rue;Bien sûr que non. Le signal à bord rouge interdit le passage.;C;Oui;Oui, mais seulement pour y stationner;Non;1139.mp3;2880044;1139
88;Je peux franchir la ligne blanche pour entrer à droite dans cette propriété;Heureusement pour celui qui habite là. La ligne blanche placée à votre droite ne sépare pas les bandes, mais indique le bord fictif de la chaussée, et délimite celle-ci de l’accotement.;A;Oui;Non;;1115.mp3;2880028;1115
89;Sur cette voie publique, ma vitesse est limitée à;Bien qu’il y ait 4 bandes, il faut absolument un séparateur « physique » entre les deux sens de trafic pour pouvoir circuler à 120 km/h.;B;70 km/h;90 km/h;120 km/h;1128.mp3;2880041;1128
90;Je peux dépasser la voiture à hauteur du passage pour piétons;Le dépassement d’un véhicule large, d'une moto ou d'un cyclo est interdit lorsque le conducteur de ce véhicule s'approche ou s’arrête devant un passage pour piétons ou pour cyclistes.;B;Oui;Non;;1124.mp3;2880037;1124
91;Pour stationner dans cette rue le 15 février à 21 h;Le 15 étant le dernier jour de la période, il faut changer de côté après 20 heures. Vous devez donc considérer que vous êtes déjà le 16. Hors le 16, le stationnement est interdit du côté droit.;B;Je stationne du côté droit;Je fais demi-tour et stationne du côté gauche;Je stationne du côté des immeubles à numéros impairs;1135.mp3;2880045;1135
92;Pour tourner à gauche au carrefour, je suis correctement placé;Pour tourner à gauche, vous devez vous porter vers la gauche, même s'il y a des rails de tram.;A;Oui;Non;;1122.mp3;2880035;1122
93;Je désire tourner à gauche devant la fourgonnette blanche. Le signal à fond bleu placé à ma droite me donne priorité;Avant de tourner à gauche, vous devez céder le passage aux conducteurs venant en sens inverse. Le signal de priorité est placé seulement pour régler le passage sous le pont.;B;Oui;Non;;1121.mp3;2880034;1121
94;La voiture stationnée à droite recule. Est-il prudent de dépasser le cycliste;Bien que le dépassement du cycliste ne soit pas formellement interdit, les feux blanc allumés à l’arrière du véhicule stationné laissent présumer qu’il va reculer. Dans ce cas, le cycliste risque de faire un écart. Il vaut donc mieux patienter derrière le;C;Oui;Oui, en m’écartant d’un mètre au moins;Non;1143.mp3;2880053;1143
95;Sur cette voie prioritaire, je peux dépasser;Tout ce qui n'est pas interdit est autorisé.;A;Oui;Non;;1125.mp3;2880038;1125
96;Le 12 mars à 23 h, je désire mettre mon véhicule en stationnement dans cette agglomération où le stationnement semi-mensuel est applicable.;Le 12 mars est compris dans la période 1-15, donc le stationnement est obligatoire du côté des immeubles à numéros impairs. L’heure n’a d’importance que le dernier jour de chaque période.;B;Je stationne du côté des immeubles à numéros pairs;Je stationne du côté des immeubles à numéros impairs;Je stationne du côté gauche de la chaussée;1137.mp3;2880047;1137
97;Remplacer mes pneus par des pneus à clous est autorisé;L'utilisation des pneus à clous ne dépend pas des conditions climatiques. Retenez les dates: du 1er novembre au 31 mars.;A;Du 1er novembre au 31 mars;Du 1er octobre au 31 mars;Lorsque les conditions climatiques le justifient.;1005.mp3;917005;1005
98;Le tram est immobilisé pour l’embarquement des passagers. Je peux le dépasser par la gauche;Pour pouvoir dépasser un tram par la gauche, il faut un obstacle fixe à droite, ce qui n’est pas le cas ici. Je dois donc laisser passer les voyageurs, et ensuite dépasser le tram par la droite.;C;Oui;Oui, s'il n'y a pas de conducteurs venant en sens inverse;Non;1119.mp3;2880032;1119
99;Le brouillard réduit ma visibilité à 50 mètres environ. Dans ce cas, l’usage du feu anti-brouillard arrière est;L’usage du feu de brouillard arrière est obligatoire dès que le brouillard ou une chute de neige réduit la visibilité à moins de 100 mètres environ, ainsi qu’en cas de forte pluie. Son usage est interdit dans les autres cas.;B;Autorisé;Obligatoire;Interdit;1104.mp3;2880017;1104
100;Je peux rouler sur ces marques au sol;Ne confondez pas bande de bus et arrêt de bus. Ces marques font parties de la chaussée, vous devez rouler sur ces marques afin de rester à droite.;A;Oui;Seulement si je tourne à droite;Non;1114.mp3;2880027;1114
101;Sur cette autoroute, le trafic est très dense. Je peux remonter la file de voitures par la droite;Comme la circulation est dense, la circulation s’effectue en files. Si une file circule plus rapidement qu’une autre, cela ne constitue pas un dépassement.;A;Oui;Non;;1117.mp3;2880030;1117
102;Jusqu’aux signaux routiers, ma vitesse était limitée à;Jusqu’aux signaux routiers, vous étiez en agglomération, mais vous aviez également un signal vous autorisant à circuler à 70 km/h.;C;50 km/h;60 km/h;70 km/h;1130.mp3;2880043;1130
103;Pour virer à droite à ce carrefour;Le signal « STOP » est sans effet du fait que les feux fonctionnent. N’oubliez cependant pas que la flèche verte allumée conjointement avec le feu rouge ne vous donne pas priorité sur les conducteurs et piétons qui peuvent déboucher des autres directions ;C;J’ai la priorité;Je dois préalablement marquer l’arrêt, ensuite je peux tourner;Je dois céder le passage aux autres conducteurs et aux piétons;1108.mp3;2880021;1108
104;Les accessoires suivants doivent se trouver à bord de mon véhicule;Les trois accessoires obligatoires sont: trousse de secours, extincteur et triangle de danger. Il vaut mieux avoir aussi une roue de secours, mais ce n’est pas obligatoire.;C;Un extincteur, une roue de secours et une trousse de secours;Un câble de remorquage, une trousse de secours et un extincteur;Une trousse de secours, un extincteur et un triangle de danger;1106.mp3;2880019;1106
105;Dans ce cas précis, je dois franchir le ralentisseur à une vitesse maximale de;Ce ralentisseur est placé dans une zone résidentielle, où la vitesse est toujours limitée à 20 km/h.;A;20 km/h;25 km/h;30 km/h;1133.mp3;2880044;1133
106;Je veux dépasser ce camion;L'interdiction de dépasser ne concerne que les camions. En voiture, vous pouvez dépasser.;A;C’est autorisé;C'est interdit;;1111.mp3;2880024;1111
107;Pour continuer tout droit dans ce carrefour;Le feu vert rend le panneau « STOP » sans effet. Il sera utile si les feux ne fonctionnent plus.;A;Je peux passer;Je dois céder le passage à droite et à gauche;Je dois marquer l’arrêt et céder le passage;1107.mp3;2880020;1107
108;Lors d’un accident avec dégâts matériels uniquement, mon véhicule est légèrement endommagé. Dans ce cas;Obligation de déplacer votre véhicule afin de ne pas gêner la circulation. Si ce déplacement n’est pas possible, vous devez mettre le triangle.;A;Je dois le déplacer;Je peux le laisser le temps de faire le constat;Je peux le laisser jusqu’à l’arrivée de la police;1141.mp3;2880051;1141
109;Je peux dépasser les deux véhicules qui me précèdent en une fois;Dépasser deux véhicules en une fois est ce qu’on appelle un 'dépassement successif'. Ce n’est autorisé que sur les chaussées à sens unique ou sur les chaussées divisées en 4 bandes ou plus.;B;Oui;Non;Oui, si personne ne vient en sens inverse;1126.mp3;2880039;1126
110;Je désire tourner à gauche dans ce carrefour;L’agent n’indique pas une direction à suivre, mais ouvre le carrefour. Vous pouvez donc y entrer, et suivre la direction que vous désirez.;A;Je peux tourner sans attendre;Je dois attendre que l’agent me fasse signe;Je dois continuer tout droit;1101.mp3;917042;1101
